id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,roundIndex,roundIndexLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01HZHDH5HQ5NPNCVSGWRZ5TM5T,1,2024-06-04T11:43:57.565361+01:00,01HZHDH5HC2Y07710VWBHB3GPD,2024-06-04T11:43:16.151455+01:00,true,2024-06-04T11:59:09.263079+01:00,end of game,2024-06-04T11:59:09.269242+01:00,01HZHDH5J71DF0VWE5P3B8SGGE,2024-06-04T11:43:16.169317+01:00,01HZHDJE05K4X1AMDEZ4C0RRFR,2024-06-04T11:43:57.577395+01:00,51,2024-06-04T11:43:57.699973+01:00,null,2024-06-04T11:59:09.263079+01:00,true,2024-06-04T11:43:57.565361+01:00,true,2024-06-04T11:43:57.565361+01:00,ended,2024-06-04T11:59:09.269242+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-04T11:43:16.151455+01:00,Solo,2024-06-04T11:43:16.151455+01:00
01HZKWX72Y12EXS3KRPV2MP4TQ,1,2024-06-05T10:50:35.462761+01:00,01HZKWX72H0EBBF5KPKPEE8638,2024-06-05T10:50:28.446912+01:00,true,2024-06-05T10:51:27.789396+01:00,batch ended,2024-06-05T10:51:27.698622+01:00,01HZKWX73HFCSA6ENQ0CQN2D7A,2024-06-05T10:50:28.46723+01:00,01HZKWXDYBFK07P65M9C3X9BWH,2024-06-05T10:50:35.473568+01:00,51,2024-06-05T10:50:35.55528+01:00,null,2024-06-05T10:51:27.789396+01:00,true,2024-06-05T10:50:35.462761+01:00,true,2024-06-05T10:50:35.462761+01:00,terminated,2024-06-05T10:51:27.698622+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-05T10:50:28.446912+01:00,Solo,2024-06-05T10:50:28.446912+01:00
01HZKWZ2NBSYA83F7NBETADF40,1,2024-06-05T10:51:41.57944+01:00,01HZKWZ2N1HQM73CXRWXVV180Z,2024-06-05T10:51:29.451263+01:00,true,2024-06-05T11:10:21.513004+01:00,end of game,2024-06-05T11:10:21.518863+01:00,01HZKWZ2NRRZN2BDMZAZXYRJBT,2024-06-05T10:51:29.4665+01:00,01HZKWZEGF7GM88D9KRA9XVBS9,2024-06-05T10:51:41.587123+01:00,51,2024-06-05T10:51:41.672007+01:00,null,2024-06-05T11:10:21.513004+01:00,true,2024-06-05T10:51:41.57944+01:00,true,2024-06-05T10:51:41.57944+01:00,ended,2024-06-05T11:10:21.518863+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-05T10:51:29.451263+01:00,Solo,2024-06-05T10:51:29.451263+01:00
01HZMYAPG5N42EK8SQF2MNGAYT,1,2024-06-05T20:34:44.361288+01:00,01HZMYAPFS4WP2868YQ6KAPA92,2024-06-05T20:34:33.222005+01:00,true,2024-06-05T21:03:36.231471+01:00,end of game,2024-06-05T21:03:36.239279+01:00,01HZMYAPGMG83QFFG1SBAVZ8YS,2024-06-05T20:34:33.237315+01:00,01HZMYB1CDBQPVYJTM4A626JQJ,2024-06-05T20:34:44.36881+01:00,51,2024-06-05T20:34:44.464585+01:00,null,2024-06-05T21:03:36.231471+01:00,true,2024-06-05T20:34:44.361288+01:00,true,2024-06-05T20:34:44.361288+01:00,ended,2024-06-05T21:03:36.239279+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-05T20:34:33.222005+01:00,Solo,2024-06-05T20:34:33.222005+01:00
01HZSH5TPHX4XFJHM59FC8JH7H,1,2024-06-07T15:21:05.134184+01:00,01HZSH5TN747MRNQBYWKCAMNQH,2024-06-07T15:20:54.353335+01:00,true,2024-06-07T15:32:15.66008+01:00,batch ended,2024-06-07T15:32:15.593193+01:00,01HZSH5TQWT87V8WTFZ6AVZSDX,2024-06-07T15:20:54.398629+01:00,01HZSH657N5WM7GR1GWETYQZ0P,2024-06-07T15:21:05.144436+01:00,51,2024-06-07T15:21:05.377614+01:00,null,2024-06-07T15:32:15.66008+01:00,true,2024-06-07T15:21:05.134184+01:00,true,2024-06-07T15:21:05.134184+01:00,terminated,2024-06-07T15:32:15.593193+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-07T15:20:54.353335+01:00,Solo,2024-06-07T15:20:54.353335+01:00
01HZHCJCJVC2B3XPR9E4DREYWS,1,2024-06-04T11:28:08.075828+01:00,01HZHCJCJ6FEFEZ7D15KFFM0EP,2024-06-04T11:26:27.547045+01:00,true,2024-06-04T11:43:01.570304+01:00,batch ended,2024-06-04T11:43:01.46645+01:00,01HZHCJCKDFRSVKKB50112HCC4,2024-06-04T11:26:27.568616+01:00,01HZHCNERHP8ZJ5V2HW07K34TF,2024-06-04T11:28:08.087889+01:00,51,2024-06-04T11:28:08.167269+01:00,null,2024-06-04T11:43:01.570304+01:00,true,2024-06-04T11:28:08.075828+01:00,true,2024-06-04T11:28:08.075828+01:00,terminated,2024-06-04T11:43:01.46645+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-04T11:26:27.547045+01:00,Solo,2024-06-04T11:26:27.547045+01:00
01J01EHP2EYBEMPXJG31YPDQK4,1,2024-06-10T17:09:00.738112+01:00,01J01EHP1TE6CP5ZNNAD6C8FWM,2024-06-10T17:08:52.558248+01:00,false,2024-06-10T17:08:52.558248+01:00,,,01J01EHP36NSEWEJR5SDKAQ2R0,2024-06-10T17:08:52.58444+01:00,01J01EHY27NT8RWKRX1PRFC08Z,2024-06-10T17:09:00.746876+01:00,51,2024-06-10T17:09:00.88497+01:00,01J01EHY72MCBHADHCFK2VXHBQ,2024-06-10T17:09:04.867124+01:00,true,2024-06-10T17:09:00.738112+01:00,true,2024-06-10T17:09:00.738112+01:00,running,2024-06-10T17:09:01.308138+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-10T17:08:52.558248+01:00,Solo,2024-06-10T17:08:52.558248+01:00
01HZHDFAB9TN257VV08TN2K5MV,,,01HZHDFAAYK8WT2T48BCP1EAR2,2024-06-04T11:42:15.529757+01:00,false,2024-06-04T11:42:15.529757+01:00,batch ended,2024-06-04T11:43:14.659905+01:00,01HZHDFABST29Z3TTJHR9HGZGT,2024-06-04T11:42:15.546902+01:00,,,,,,,false,2024-06-04T11:42:15.529757+01:00,,,terminated,2024-06-04T11:43:14.659905+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-04T11:42:15.529757+01:00,Solo,2024-06-04T11:42:15.529757+01:00
01HZKWWBXPAX8SX2EZRJ3SBMMR,,,01HZKWWBX3GN6QV04C61GPS09V,2024-06-05T10:50:00.630559+01:00,false,2024-06-05T10:50:00.630559+01:00,batch ended,2024-06-05T10:50:27.149491+01:00,01HZKWWBYBRDE9ZBYJ646T5201,2024-06-05T10:50:00.653435+01:00,,,,,,,false,2024-06-05T10:50:00.630559+01:00,,,terminated,2024-06-05T10:50:27.149491+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-05T10:50:00.630559+01:00,Solo,2024-06-05T10:50:00.630559+01:00
01HZSFMAR8H3RXQCYKK5562K1S,1,2024-06-07T14:54:00.045991+01:00,01HZSFMAQQQHRT6XBHJV48DSKG,2024-06-07T14:53:52.39225+01:00,true,2024-06-07T14:58:44.781681+01:00,batch ended,2024-06-07T14:58:44.744825+01:00,01HZSFMAS0P61RVJ5VKV5E05M4,2024-06-07T14:53:52.418057+01:00,01HZSFMJ7MY2WEQR4DCE9VEF92,2024-06-07T14:54:00.055678+01:00,51,2024-06-07T14:54:00.189552+01:00,null,2024-06-07T14:58:44.781681+01:00,true,2024-06-07T14:54:00.045991+01:00,true,2024-06-07T14:54:00.045991+01:00,terminated,2024-06-07T14:58:44.744825+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-07T14:53:52.39225+01:00,Solo,2024-06-07T14:53:52.39225+01:00
01HZSG9T1GTJ9QS8TQXQF6VFJP,1,2024-06-07T15:05:46.931538+01:00,01HZSG9T0TZBK9W6QR9KEN15FG,2024-06-07T15:05:36.176097+01:00,true,2024-06-07T15:14:33.852051+01:00,batch ended,2024-06-07T15:14:33.802328+01:00,01HZSG9T2EYR2VAVADBFFW8TJQ,2024-06-07T15:05:36.2085+01:00,01HZSGA4HSGS055603YP5KCX37,2024-06-07T15:05:46.941652+01:00,51,2024-06-07T15:05:47.121671+01:00,null,2024-06-07T15:14:33.852051+01:00,true,2024-06-07T15:05:46.931538+01:00,true,2024-06-07T15:05:46.931538+01:00,terminated,2024-06-07T15:14:33.802328+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-07T15:05:36.176097+01:00,Solo,2024-06-07T15:05:36.176097+01:00
01HZFFYAMEDY1RZY7M1YWABEGE,1,2024-06-03T17:47:26.030086+01:00,01HZFFYAKQMXP174TK93N8AGY2,2024-06-03T17:46:55.630158+01:00,true,2024-06-03T17:54:23.897071+01:00,end of game,2024-06-03T17:54:23.902571+01:00,01HZFFYAN09X1Z3E0EQW7G80N2,2024-06-03T17:46:55.650605+01:00,01HZFFZ8AMETZ8XE412VHY51GD,2024-06-03T17:47:26.044756+01:00,51,2024-06-03T17:47:26.136633+01:00,null,2024-06-03T17:54:23.897071+01:00,true,2024-06-03T17:47:26.030086+01:00,true,2024-06-03T17:47:26.030086+01:00,ended,2024-06-03T17:54:23.902571+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-03T17:46:55.630158+01:00,Solo,2024-06-03T17:46:55.630158+01:00
01HZHCJP21JVY94168DC87KCRP,1,2024-06-04T11:28:42.331445+01:00,01HZHCJP1MENGDSFT8ZG4AQFNY,2024-06-04T11:26:37.249807+01:00,true,2024-06-04T11:43:03.937805+01:00,batch ended,2024-06-04T11:43:03.887342+01:00,01HZHCJP2J049NMDYFBET1XVBZ,2024-06-04T11:26:37.26907+01:00,01HZHCPG6YA12QQ7V2WEHYBPV1,2024-06-04T11:28:42.338477+01:00,51,2024-06-04T11:28:42.418684+01:00,null,2024-06-04T11:43:03.937805+01:00,true,2024-06-04T11:28:42.331445+01:00,true,2024-06-04T11:28:42.331445+01:00,terminated,2024-06-04T11:43:03.887342+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-04T11:26:37.249807+01:00,Solo,2024-06-04T11:26:37.249807+01:00
01HZSCSZ22KKHX4E09XHK620VB,1,2024-06-07T14:04:37.402463+01:00,01HZSCSZ1N9Y1SSTM9A1T1218D,2024-06-07T14:04:31.298365+01:00,true,2024-06-07T14:25:05.217922+01:00,batch ended,2024-06-07T14:25:05.191823+01:00,01HZSCSZ2NGMT2R2YV42PXN27R,2024-06-07T14:04:31.319727+01:00,01HZSCT50ZEE91KXFVMHFPTG8F,2024-06-07T14:04:37.411736+01:00,51,2024-06-07T14:04:37.511959+01:00,null,2024-06-07T14:25:05.217922+01:00,true,2024-06-07T14:04:37.402463+01:00,true,2024-06-07T14:04:37.402463+01:00,terminated,2024-06-07T14:25:05.191823+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-07T14:04:31.298365+01:00,Solo,2024-06-07T14:04:31.298365+01:00
01HZYSXPTR5VQZ8NCNJ1VASSZY,1,2024-06-09T16:30:04.818669+01:00,01HZYSXPSZ5A7F9H696B6J3PE0,2024-06-09T16:29:57.592031+01:00,true,2024-06-09T16:34:24.526101+01:00,batch ended,2024-06-09T16:34:24.480161+01:00,01HZYSXPVK6SM7VB1HVRC9D5Q5,2024-06-09T16:29:57.62179+01:00,01HZYSXXWSAFZF9N0KVWEC76WY,2024-06-09T16:30:04.828149+01:00,51,2024-06-09T16:30:05.033926+01:00,null,2024-06-09T16:34:24.526101+01:00,true,2024-06-09T16:30:04.818669+01:00,true,2024-06-09T16:30:04.818669+01:00,terminated,2024-06-09T16:34:24.480161+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-09T16:29:57.592031+01:00,Solo,2024-06-09T16:29:57.592031+01:00
01HZH1KRRJREHB0RVRS5TRPKQN,1,2024-06-04T08:15:59.364419+01:00,01HZH1KRR0J1XS5AZ53TMM3VEA,2024-06-04T08:14:58.450028+01:00,true,2024-06-04T08:33:46.848103+01:00,end of game,2024-06-04T08:33:46.853879+01:00,01HZH1KRS271JJFDP8BC8BR9DM,2024-06-04T08:14:58.469421+01:00,01HZH1NM88TH7EZCR6MR5CVDC0,2024-06-04T08:15:59.375342+01:00,51,2024-06-04T08:15:59.471816+01:00,null,2024-06-04T08:33:46.848103+01:00,true,2024-06-04T08:15:59.364419+01:00,true,2024-06-04T08:15:59.364419+01:00,ended,2024-06-04T08:33:46.853879+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-04T08:14:58.450028+01:00,Solo,2024-06-04T08:14:58.450028+01:00
01HZHD4792TN8MR8JR994GBT6M,,,01HZHD478P0E92TKV5GHVY79MW,2024-06-04T11:36:11.938873+01:00,false,2024-06-04T11:36:11.938873+01:00,batch ended,2024-06-04T11:43:12.126486+01:00,01HZHD479M17XF1G4PGJR9F4N1,2024-06-04T11:36:11.957818+01:00,,,,,,,false,2024-06-04T11:36:11.938873+01:00,,,terminated,2024-06-04T11:43:12.126486+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-04T11:36:11.938873+01:00,Solo,2024-06-04T11:36:11.938873+01:00
01HZMQQ6G8AM0M24Z3GMZTW51T,1,2024-06-05T18:39:27.262266+01:00,01HZMQQ6FSDQCJC3B3BNPPRAGQ,2024-06-05T18:39:02.793035+01:00,true,2024-06-05T19:59:53.149207+01:00,end of game,2024-06-05T19:59:53.155825+01:00,01HZMQQ6GVYK59KYGGZCTAWA4E,2024-06-05T18:39:02.813901+01:00,01HZMQQYD31QYSGGFMNXK0T21V,2024-06-05T18:39:27.271758+01:00,51,2024-06-05T18:39:27.358521+01:00,null,2024-06-05T19:59:53.149207+01:00,true,2024-06-05T18:39:27.262266+01:00,true,2024-06-05T18:39:27.262266+01:00,ended,2024-06-05T19:59:53.155825+01:00,"{""numSwipes"":50,""playerCount"":1}",2024-06-05T18:39:02.793035+01:00,Solo,2024-06-05T18:39:02.793035+01:00
