id,CharacterChoice_Influence_Age,CharacterChoice_Influence_AgeLastChangedAt,CharacterChoice_Influence_Appearance,CharacterChoice_Influence_AppearanceLastChangedAt,CharacterChoice_Influence_Hobbies,CharacterChoice_Influence_HobbiesLastChangedAt,CharacterChoice_Influence_Job,CharacterChoice_Influence_JobLastChangedAt,CharacterChoice_Similarity_Similar_age,CharacterChoice_Similarity_Similar_ageLastChangedAt,CharacterChoice_Similarity_Similar_appearance,CharacterChoice_Similarity_Similar_appearanceLastChangedAt,CharacterChoice_Similarity_Similar_hobbies,CharacterChoice_Similarity_Similar_hobbiesLastChangedAt,CharacterChoice_Similarity_Similar_job,CharacterChoice_Similarity_Similar_jobLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Age,EndDatingAppSurvey_AlgorithmShouldUseRecommend-AgeLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Appearance,EndDatingAppSurvey_AlgorithmShouldUseRecommend-AppearanceLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Education Level,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Education LevelLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Ethnicity,EndDatingAppSurvey_AlgorithmShouldUseRecommend-EthnicityLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Hobbies,EndDatingAppSurvey_AlgorithmShouldUseRecommend-HobbiesLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Physical Health,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Physical HealthLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Profession,EndDatingAppSurvey_AlgorithmShouldUseRecommend-ProfessionLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Age,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-AgeLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Appearance,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-AppearanceLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Education Level,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Education LevelLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Ethnicity,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-EthnicityLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Hobbies,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-HobbiesLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Physical Health,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Physical HealthLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Profession,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-ProfessionLastChangedAt,EndDatingAppSurvey_activeOnDatingApps,EndDatingAppSurvey_activeOnDatingAppsLastChangedAt,EndDatingAppSurvey_datingAppsUsed,EndDatingAppSurvey_datingAppsUsedLastChangedAt,EndDatingAppSurvey_frequencyDatingAppUsage,EndDatingAppSurvey_frequencyDatingAppUsageLastChangedAt,EndRecSystemSurvey_additionalComments,EndRecSystemSurvey_additionalCommentsLastChangedAt,EndRecSystemSurvey_algorithmLearntAttribute-Age,EndRecSystemSurvey_algorithmLearntAttribute-AgeLastChangedAt,EndRecSystemSurvey_algorithmLearntAttribute-Appearance,EndRecSystemSurvey_algorithmLearntAttribute-AppearanceLastChangedAt,EndRecSystemSurvey_algorithmLearntAttribute-Hobbies,EndRecSystemSurvey_algorithmLearntAttribute-HobbiesLastChangedAt,EndRecSystemSurvey_algorithmLearntAttribute-Job,EndRecSystemSurvey_algorithmLearntAttribute-JobLastChangedAt,EndRecSystemSurvey_recommendationDiversity,EndRecSystemSurvey_recommendationDiversityLastChangedAt,EndRecSystemSurvey_recommendationQuality,EndRecSystemSurvey_recommendationQualityLastChangedAt,EndRecSystemSurvey_systemVariety,EndRecSystemSurvey_systemVarietyLastChangedAt,SwipeProfileChoiceSurvey_AttributeAge,SwipeProfileChoiceSurvey_AttributeAgeLastChangedAt,SwipeProfileChoiceSurvey_AttributeAppearance,SwipeProfileChoiceSurvey_AttributeAppearanceLastChangedAt,SwipeProfileChoiceSurvey_AttributeHobbies,SwipeProfileChoiceSurvey_AttributeHobbiesLastChangedAt,SwipeProfileChoiceSurvey_AttributeJob,SwipeProfileChoiceSurvey_AttributeJobLastChangedAt,SwipeProfileRecommendationSurvey_Improvement,SwipeProfileRecommendationSurvey_ImprovementLastChangedAt,SwipeProfileRecommendationSurvey_Variety,SwipeProfileRecommendationSurvey_VarietyLastChangedAt,batchID,batchIDLastChangedAt,chosenCharacterBeard,chosenCharacterBeardLastChangedAt,chosenCharacterGlasses,chosenCharacterGlassesLastChangedAt,chosenCharacterHair,chosenCharacterHairLastChangedAt,chosenCharacterHobby,chosenCharacterHobbyLastChangedAt,chosenProfile,chosenProfileLastChangedAt,dislikedProfile,dislikedProfileLastChangedAt,gameID,gameIDLastChangedAt,likedProfile,likedProfileLastChangedAt,ownProfileID,ownProfileIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01J06ZG27QTYE23M5Q2HC20GG1,somewhatInfluential,2024-06-12T20:41:32.668234+01:00,somewhatInfluential,2024-06-12T20:41:32.667032+01:00,somewhatInfluential,2024-06-12T20:41:32.669214+01:00,somewhatInfluential,2024-06-12T20:41:32.669902+01:00,notSimilar,2024-06-12T20:41:32.667191+01:00,notSimilar,2024-06-12T20:41:32.66654+01:00,notSimilar,2024-06-12T20:41:32.666845+01:00,notSimilar,2024-06-12T20:41:32.667828+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:41:17.431958+01:00,No,2024-06-12T20:41:24.454196+01:00,Yes,2024-06-12T20:41:24.454067+01:00,Long,2024-06-12T20:41:24.454298+01:00,Music,2024-06-12T20:41:24.454402+01:00,173,2024-06-12T20:41:32.670339+01:00,,,01J06ZFPS8SXPJ27H94F8M5V2Q,2024-06-12T20:41:17.431958+01:00,,,,,01J06ZFW9HMHEH3X8KA2PFBE9M,2024-06-12T20:41:17.431958+01:00,01J06ZG1M64MJR11XQ1GEWA2W6,2024-06-12T20:41:17.431958+01:00
01J06ZN7VXT65HTFH2RCFRQ9R3,notInfluential,2024-06-12T20:44:31.848651+01:00,somewhatInfluential,2024-06-12T20:44:31.847816+01:00,veryInfluential,2024-06-12T20:44:31.851713+01:00,somewhatInfluential,2024-06-12T20:44:31.850676+01:00,verySimilar,2024-06-12T20:44:31.847033+01:00,verySimilar,2024-06-12T20:44:31.84732+01:00,verySimilar,2024-06-12T20:44:31.84668+01:00,verySimilar,2024-06-12T20:44:31.847592+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:44:07.03737+01:00,No,2024-06-12T20:44:14.95595+01:00,No,2024-06-12T20:44:17.757078+01:00,Short,2024-06-12T20:44:19.325639+01:00,Arts,2024-06-12T20:44:22.848093+01:00,219,2024-06-12T20:44:31.851382+01:00,,,01J06ZFPS76X71PY6PJ4Q4Q992,2024-06-12T20:44:07.03737+01:00,,,,,01J06ZN4N62G79PWVCE05XDDR3,2024-06-12T20:44:07.03737+01:00,01J06ZN79A90F0JK67H6X99H06,2024-06-12T20:44:07.03737+01:00
01J06ZSDXF5WYM8P22AXG2479Q,,,,,,,,,,,,,,,,,Should maybe use,2024-06-12T20:46:49.794546+01:00,Should maybe use,2024-06-12T20:46:49.793767+01:00,Should maybe not use,2024-06-12T20:46:49.796366+01:00,Should maybe not use,2024-06-12T20:46:49.797107+01:00,Should definitely use,2024-06-12T20:46:49.795633+01:00,Should maybe not use,2024-06-12T20:46:49.79659+01:00,Should maybe use,2024-06-12T20:46:49.796138+01:00,,,,,,,,,,,,,,,I have never been active on a dating app,2024-06-12T20:46:49.791985+01:00,[],2024-06-12T20:46:49.793399+01:00,,2024-06-12T20:46:49.792542+01:00,zdsxfcgvhbjnk,2024-06-12T20:46:38.140143+01:00,Learned quickly,2024-06-12T20:46:38.136296+01:00,Learned quickly,2024-06-12T20:46:38.136709+01:00,Learned quickly,2024-06-12T20:46:38.137457+01:00,Learned quickly,2024-06-12T20:46:38.137747+01:00,The recommendations were too varied and inconsistent,2024-06-12T20:46:38.141123+01:00,All/most recommendations were very good,2024-06-12T20:46:38.13993+01:00,"Showed a variety of potential matches, even if they didn't perfectly match your character’s preferences",2024-06-12T20:46:38.140903+01:00,,,,,,,,,,,,,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:46:24.30332+01:00,,,,,,,,,,,,,01J06ZFPS76X71PY6PJ4Q4Q992,2024-06-12T20:46:24.30332+01:00,,,,,01J06ZN4N62G79PWVCE05XDDR3,2024-06-12T20:46:24.30332+01:00,01J06ZN79D2D1ZSHG85VN9BPCC,2024-06-12T20:46:24.30332+01:00
01J06ZGH4JBHAQ691BMHRYAQYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,same,2024-06-12T20:41:45.14062+01:00,same,2024-06-12T20:41:45.14026+01:00,same,2024-06-12T20:41:45.140765+01:00,same,2024-06-12T20:41:45.140976+01:00,notSure,2024-06-12T20:42:15.438905+01:00,tooMuch,2024-06-12T20:41:56.482118+01:00,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:41:32.690241+01:00,,,,,,,,,,,164,2024-06-12T20:43:20.117426+01:00,01J06ZFPS8SXPJ27H94F8M5V2Q,2024-06-12T20:41:32.690241+01:00,118,2024-06-12T20:43:20.117181+01:00,1,2024-06-12T20:41:32.693727+01:00,01J06ZFW9HMHEH3X8KA2PFBE9M,2024-06-12T20:41:32.690241+01:00,01J06ZG1M9M8MKE2K8Y0TPQ721,2024-06-12T20:41:32.690241+01:00
01J06ZKXEHG2RZW994XATXP0FH,,,,,,,,,,,,,,,,,Should maybe use,2024-06-12T20:43:56.129797+01:00,Should maybe use,2024-06-12T20:43:56.129594+01:00,Should maybe use,2024-06-12T20:43:56.1325+01:00,Should maybe use,2024-06-12T20:43:56.132699+01:00,Should maybe use,2024-06-12T20:43:56.131606+01:00,Should maybe use,2024-06-12T20:43:56.132009+01:00,Should maybe use,2024-06-12T20:43:56.132265+01:00,Very Important,2024-06-12T20:43:56.125199+01:00,Very Important,2024-06-12T20:43:56.12468+01:00,Very Important,2024-06-12T20:43:56.128859+01:00,Very Important,2024-06-12T20:43:56.129302+01:00,Very Important,2024-06-12T20:43:56.127301+01:00,Very Important,2024-06-12T20:43:56.129445+01:00,Very Important,2024-06-12T20:43:56.129088+01:00,I am not currently active on dating apps but was in the past.,2024-06-12T20:43:56.122481+01:00,"[""Tinder"",""Bumble""]",2024-06-12T20:43:56.123384+01:00,Daily,2024-06-12T20:43:56.122268+01:00,dxfcgvhbjn,2024-06-12T20:43:35.908855+01:00,Learned slowly,2024-06-12T20:43:35.904653+01:00,Learned slowly,2024-06-12T20:43:35.903965+01:00,Learned slowly,2024-06-12T20:43:35.905421+01:00,Learned quickly,2024-06-12T20:43:35.906535+01:00,The diversity of recommendations was balanced and appropriate,2024-06-12T20:43:35.910473+01:00,All/most recommendations were very good,2024-06-12T20:43:35.908328+01:00,Focused on suggesting matches closely aligned with your character’s established preferences,2024-06-12T20:43:35.910616+01:00,,,,,,,,,,,,,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:43:23.601273+01:00,,,,,,,,,,,,,01J06ZFPS8SXPJ27H94F8M5V2Q,2024-06-12T20:43:23.601273+01:00,,,,,01J06ZFW9HMHEH3X8KA2PFBE9M,2024-06-12T20:43:23.601273+01:00,01J06ZG1M9M8MKE2K8YDH2ZH1E,2024-06-12T20:43:23.601273+01:00
01J06ZP03YDJGWDJGJ3123EAQ9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,same,2024-06-12T20:44:43.881767+01:00,notChosenBetter,2024-06-12T20:45:49.613518+01:00,chosenBetter,2024-06-12T20:45:49.613767+01:00,chosenBetter,2024-06-12T20:45:49.613997+01:00,worse,2024-06-12T20:46:05.640375+01:00,tooMuch,2024-06-12T20:45:40.041355+01:00,01J06ZFPRNYVQ28MK90Z04S9C9,2024-06-12T20:44:31.87007+01:00,,,,,,,,,,,41,2024-06-12T20:46:21.039838+01:00,01J06ZFPS76X71PY6PJ4Q4Q992,2024-06-12T20:44:31.87007+01:00,35,2024-06-12T20:46:21.040186+01:00,1,2024-06-12T20:44:31.875449+01:00,01J06ZN4N62G79PWVCE05XDDR3,2024-06-12T20:44:31.87007+01:00,01J06ZN79A90F0JK67HN5ERMKA,2024-06-12T20:44:31.87007+01:00
01J06ZWAW7FH9XH1K74FKJ5G1S,veryInfluential,2024-06-12T20:48:16.991089+01:00,somewhatInfluential,2024-06-12T20:48:16.987591+01:00,somewhatInfluential,2024-06-12T20:48:16.9899+01:00,somewhatInfluential,2024-06-12T20:48:16.990327+01:00,somewhatSimilar,2024-06-12T20:48:16.98594+01:00,notSimilar,2024-06-12T20:48:16.985242+01:00,somewhatSimilar,2024-06-12T20:48:16.986236+01:00,verySimilar,2024-06-12T20:48:16.986551+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:47:59.495044+01:00,Yes,2024-06-12T20:48:06.390402+01:00,Yes,2024-06-12T20:48:06.386493+01:00,Long,2024-06-12T20:48:06.390066+01:00,Sport,2024-06-12T20:48:06.390986+01:00,35,2024-06-12T20:48:16.99071+01:00,,,01J06ZVYXEGB40WZV767BM18X4,2024-06-12T20:47:59.495044+01:00,,,,,01J06ZW8BASQTF1WSCTP5P5KTW,2024-06-12T20:47:59.495044+01:00,01J06ZWAA3TYYDPSKST4MVKKCG,2024-06-12T20:47:59.495044+01:00
01J06ZWVZQY0PZK2F782TAJ8SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chosenBetter,2024-06-12T20:49:40.72884+01:00,same,2024-06-12T20:48:29.858356+01:00,chosenBetter,2024-06-12T20:49:22.961591+01:00,same,2024-06-12T20:48:29.859203+01:00,notSure,2024-06-12T20:50:16.565814+01:00,tooMuch,2024-06-12T20:48:42.261205+01:00,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:48:17.015854+01:00,,,,,,,,,,,118,2024-06-12T20:50:12.99667+01:00,01J06ZVYXEGB40WZV767BM18X4,2024-06-12T20:48:17.015854+01:00,107,2024-06-12T20:50:12.99624+01:00,1,2024-06-12T20:48:17.02041+01:00,01J06ZW8BASQTF1WSCTP5P5KTW,2024-06-12T20:48:17.015854+01:00,01J06ZWAA4P3B4WRSHXV6231GE,2024-06-12T20:48:17.015854+01:00
01J0700GRD0MB3N473TV4M0RG4,,,,,,,,,,,,,,,,,Should maybe not use,2024-06-12T20:50:51.69158+01:00,Should maybe not use,2024-06-12T20:50:51.691238+01:00,Should maybe not use,2024-06-12T20:50:51.692658+01:00,Should maybe not use,2024-06-12T20:50:51.694509+01:00,Should maybe use,2024-06-12T20:50:51.691864+01:00,Should definitely not use,2024-06-12T20:50:51.693616+01:00,Should maybe not use,2024-06-12T20:50:51.69239+01:00,Very Important,2024-06-12T20:50:51.685137+01:00,Very Important,2024-06-12T20:50:51.683967+01:00,Very Important,2024-06-12T20:50:51.689598+01:00,Not Important,2024-06-12T20:50:51.690792+01:00,Quite Important,2024-06-12T20:50:51.686312+01:00,Not Very Important,2024-06-12T20:50:51.690334+01:00,Quite Important,2024-06-12T20:50:51.686898+01:00,I am not currently active on dating apps but was in the past.,2024-06-12T20:50:51.681178+01:00,"[""Grindr""]",2024-06-12T20:50:51.683408+01:00,Multiple times a day,2024-06-12T20:50:51.68215+01:00,cvigbxrdyfyu,2024-06-12T20:50:30.267214+01:00,Learned slowly,2024-06-12T20:50:30.263299+01:00,Learned slowly,2024-06-12T20:50:30.262825+01:00,Learned slowly,2024-06-12T20:50:30.263602+01:00,Learned quickly,2024-06-12T20:50:30.264025+01:00,The diversity of recommendations was balanced and appropriate,2024-06-12T20:50:30.267765+01:00,All/most recommendations were bad,2024-06-12T20:50:30.266504+01:00,"Showed a variety of potential matches, even if they didn't perfectly match your character’s preferences",2024-06-12T20:50:30.266979+01:00,,,,,,,,,,,,,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:50:16.589824+01:00,,,,,,,,,,,,,01J06ZVYXEGB40WZV767BM18X4,2024-06-12T20:50:16.589824+01:00,,,,,01J06ZW8BASQTF1WSCTP5P5KTW,2024-06-12T20:50:16.589824+01:00,01J06ZWAA5D0CT1V1CDEH5C8HY,2024-06-12T20:50:16.589824+01:00
01J0701ZPBJM3VB7N7PPP6XBDF,somewhatInfluential,2024-06-12T20:51:21.948049+01:00,somewhatInfluential,2024-06-12T20:51:21.948461+01:00,notInfluential,2024-06-12T20:51:21.949683+01:00,somewhatInfluential,2024-06-12T20:51:21.950766+01:00,somewhatSimilar,2024-06-12T20:51:21.946662+01:00,notSimilar,2024-06-12T20:51:21.945957+01:00,verySimilar,2024-06-12T20:51:21.947152+01:00,somewhatSimilar,2024-06-12T20:51:21.947641+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:51:04.651172+01:00,Yes,2024-06-12T20:51:12.38973+01:00,No,2024-06-12T20:51:12.388603+01:00,Short,2024-06-12T20:51:12.389044+01:00,Sport,2024-06-12T20:51:12.3894+01:00,68,2024-06-12T20:51:21.951191+01:00,,,01J06ZVYXEGB40WZV76NGC04JT,2024-06-12T20:51:04.651172+01:00,,,,,01J0701WFZ82V7PH0DEPX7AY2G,2024-06-12T20:51:04.651172+01:00,01J0701Z2RBHF3J1WSEYM867PG,2024-06-12T20:51:04.651172+01:00
01J0702GKMX97850CW5FQWXCE0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,same,2024-06-12T20:51:35.504256+01:00,same,2024-06-12T20:51:35.50377+01:00,same,2024-06-12T20:51:35.504882+01:00,same,2024-06-12T20:51:35.504581+01:00,somewhat,2024-06-12T20:53:18.741573+01:00,tooMuch,2024-06-12T20:51:48.186926+01:00,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:51:21.972866+01:00,,,,,,,,,,,193,2024-06-12T20:53:14.917295+01:00,01J06ZVYXEGB40WZV76NGC04JT,2024-06-12T20:51:21.972866+01:00,211,2024-06-12T20:53:14.917756+01:00,1,2024-06-12T20:51:21.979254+01:00,01J0701WFZ82V7PH0DEPX7AY2G,2024-06-12T20:51:21.972866+01:00,01J0701Z2SA8WANEWZFVFVBX7A,2024-06-12T20:51:21.972866+01:00
01J07062NFFNT59SZ927Q88Y13,,,,,,,,,,,,,,,,,Should maybe use,2024-06-12T20:53:41.444503+01:00,Should definitely use,2024-06-12T20:53:41.443572+01:00,Should maybe not use,2024-06-12T20:53:41.446148+01:00,Should definitely not use,2024-06-12T20:53:41.446634+01:00,Should maybe use,2024-06-12T20:53:41.444178+01:00,Should maybe not use,2024-06-12T20:53:41.447036+01:00,Should definitely use,2024-06-12T20:53:41.445465+01:00,,,,,,,,,,,,,,,I have never been active on a dating app,2024-06-12T20:53:41.44109+01:00,[],2024-06-12T20:53:41.442456+01:00,,2024-06-12T20:53:41.440308+01:00,fxgchvgjbhknjlmkknvg,2024-06-12T20:53:31.524221+01:00,Did not learn,2024-06-12T20:53:31.520702+01:00,Did not learn,2024-06-12T20:53:31.520106+01:00,Did not learn,2024-06-12T20:53:31.521142+01:00,Did not learn,2024-06-12T20:53:31.521405+01:00,The diversity of recommendations was balanced and appropriate,2024-06-12T20:53:31.525344+01:00,"Some recommendations were good, and some not so good",2024-06-12T20:53:31.523889+01:00,Focused on suggesting matches closely aligned with your character’s established preferences,2024-06-12T20:53:31.52495+01:00,,,,,,,,,,,,,01J06ZVYX29WPXCQDBQTMM19EZ,2024-06-12T20:53:18.767831+01:00,,,,,,,,,,,,,01J06ZVYXEGB40WZV76NGC04JT,2024-06-12T20:53:18.767831+01:00,,,,,01J0701WFZ82V7PH0DEPX7AY2G,2024-06-12T20:53:18.767831+01:00,01J0701Z2SA8WANEWZG52G5T98,2024-06-12T20:53:18.767831+01:00
